fpr,tpr,auc
0.0,0.0,0.8020833333333334
0.0,0.0625,0.8020833333333334
0.0,0.1875,0.8020833333333334
0.0,0.3125,0.8020833333333334
0.0,0.4375,0.8020833333333334
0.16666666666666666,0.4375,0.8020833333333334
0.16666666666666666,0.6875,0.8020833333333334
0.3333333333333333,0.6875,0.8020833333333334
0.3333333333333333,0.875,0.8020833333333334
0.6666666666666666,0.875,0.8020833333333334
0.6666666666666666,0.9375,0.8020833333333334
0.8333333333333334,0.9375,0.8020833333333334
0.8333333333333334,1.0,0.8020833333333334
1.0,1.0,0.8020833333333334
