time,overallAccuracy,sensitivity,specificity,precision,npv,trainingduration
2022-06-13 23:05:55.763440,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,839.1349515914917
2022-06-13 23:20:03.397136,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,841.6209051609039
2022-06-13 23:34:06.264678,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,837.5298228263855
2022-06-13 23:50:49.144572,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,790.9125680923462
2022-06-14 00:04:01.830574,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,787.2820663452148
2022-06-14 00:17:28.911124,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,801.5523219108582
2022-06-14 00:30:36.750836,72.72727272727273,0.5,0.8125,0.5,0.8125,783.4248716831207
2022-06-14 00:43:33.701471,68.18181818181817,0.5,0.75,0.42857142857142855,0.8,773.1700859069824
2022-06-14 00:56:48.114262,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,789.8362691402435
2022-06-14 01:10:02.324700,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,788.6460931301117
2022-06-14 01:22:50.655301,59.09090909090909,0.5,0.625,0.3333333333333333,0.7692307692307693,763.9492089748383
2022-06-14 01:35:56.102807,59.09090909090909,0.5,0.625,0.3333333333333333,0.7692307692307693,781.7409732341766
2022-06-14 01:49:07.268790,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,786.2851274013519
2022-06-14 02:01:58.804215,59.09090909090909,0.5,0.625,0.3333333333333333,0.7692307692307693,767.0591282844543
2022-06-14 02:15:10.612648,77.27272727272727,0.8333333333333334,0.75,0.5555555555555556,0.9230769230769231,787.0099930763245
2022-06-14 02:28:13.646768,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,778.0894680023193
2022-06-14 02:40:53.917498,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,754.7131679058075
2022-06-14 02:53:43.454879,77.27272727272727,0.6666666666666666,0.8125,0.5714285714285714,0.8666666666666667,765.2093677520752
2022-06-14 03:07:11.705887,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,803.3417868614197
2022-06-14 03:20:17.403526,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,780.1221323013306
2022-06-14 03:33:50.785239,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,807.8307600021362
2022-06-14 03:47:27.041199,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,810.6375498771667
2022-06-14 04:00:31.332397,72.72727272727273,0.0,1.0,0.0,0.7272727272727273,778.6535129547119
