fpr,tpr
0.0,0.0
0.0,0.375
0.0,0.5
0.16666666666666666,0.5
0.16666666666666666,0.6875
0.3333333333333333,0.6875
0.3333333333333333,0.875
0.5,0.875
0.5,0.9375
0.6666666666666666,0.9375
0.6666666666666666,1.0
1.0,1.0
